conditionText,name,titleUnlock,metric,threshold,tier,id,notes,,,,,,,
答題 20 次,初次運功,【小試牛刀】,answer,20,1,ans_020,,,,,,,,
答題 30 次,氣息穩定,,answer,30,1,ans_030,,,,,,,,
答題 50 次,理路清楚,【招式成套】,answer,50,2,ans_050,,,,,,,,
答題 70 次,熟能生巧,,answer,70,2,ans_070,,,,,,,,
答題 80 次,高度專注,【一氣呵成】,answer,80,3,ans_080,,,,,,,,
答題 100 次,長期穩定,【修行靠日常】,answer,100,3,ans_100,,,,,,,,
答題 150 次,任務全滿,【任務接不完】,answer,150,4,ans_150,,,,,,,,
答題 180 次,深度理解,【境界展開】,answer,180,4,ans_180,,,,,,,,
答題 200 次,修為大成,【這題我懂了!】,answer,200,5,ans_200,,,,,,,,
作業完成 20 次,穩定完成,【步步到位】,homework,20,2,hw_020,,,,,,,,
作業完成、補交 30 次,自我管理,【行程掌控中】,homework,30,2,hom_030,,,,,,,,
願意重寫作業 1 次,願意修正,【重練基本功】,homework,1,2,hom_001,,,,,,,,
作業精緻 30 次,品質提升,【字字有心】,homework,30,3,hw_030,,,,,,,,
作業完成 60 次,持續交付,【任務不中斷】,homework,60,3,hw_060,,,,,,,,
作業精緻 70 次,高完成度,【心法寫滿頁】,homework,70,4,hw_070,,,,,,,,
作業完成 80 次,自律運行,【不用催也會動】,homework,80,4,hw_080,,,,,,,,
上課主動舉手發言 3 次,初入講堂,【我有在聽】,read,3,1,read_003,,,,,,,,
專注 15 次,穩定參與,【坐得住】,read,15,1,read_015,,,,,,,,
專注 30 次,專注修行,,read,30,2,read_030,,,,,,,,
發言 50 次,穩定輸出,【有想法也能說】,read,50,4,read_050,,,,,,,,
發言、專注、聆聽 10 次,能聽能說,【聽風辨位】,read,10,1,read_110,,,,,,,,
發言、專注、聆聽 80 次,高度參與、課堂滿修,【我全程在線】,read,80,5,read_180,,,,,,,,
完成一整次單元複習,內功小成,,read,1,1,read_999,,,,,,,,
連續三次小考有進步,修為精進中,,answer,3,1,ans_999,,,,,,,,
願意挑戰進階題 3 次,不怕走火入魔,【不怕走火入魔】,answer,3,2,ans_300,,,,,,,,
主動分享解題想法,心法交流者,【心法交流者】,help,1,1,help_000,,,,,,,,
組隊 3 次,初次組隊,【初次組隊】,help,3,1,help_003,,,,,,,,
組隊 10 次,同門協力,,help,10,3,help_010,,,,,,,,
幫助、協作、溝通 10 次,互相配合,【不是單打】,help,10,1,hel_010,,,,,,,,
幫助、協作、溝通 30 次,能互補位,【有你剛剛好】,help,30,3,hel_030,,,,,,,,
幫助、協作、溝通 100 次,合作圓滿,【江湖傳說中的隊友】,help,100,5,hel_100,,,,,,,,
幫助 30 次,願意接受他人建議,【江湖修養】,help,30,3,help_030,,,,,,,,
溝通 10 次,路見不平,,help,10,1,help_011,,,,,,,,
溝通 30 次,協調角色,,help,30,3,help_031,,,,,,,,
幫助、協作 50 次,團隊穩定,【小組靠得住】,help,50,4,help_050,,,,,,,,
幫助、協作 90 次,團隊核心,【缺你不行】,help,90,5,help_090,,,,,,,,
忘記作業後能補交 3 次,補救有道,,homework,3,1,hw_003,,,,,,,,
課堂提醒同學 5 次,同門相助,【同門相助】,help,5,1,help_005,,,,,,,,
作業有創意發揮 3 次,自創招式,【自創招式】,help,3,2,help_300,,,,,,,,
一週準時到校,日出即修行,,attendance,1,1,adc_001,,,,,,,,
一個月準時到校,時間感很好,【我有準時出門】,attendance,1,3,adc_002,,,,,,,,
二個月準時到校,時辰掌控者,【時辰掌控者】,attendance,1,5,adc_003,,,,,,,,
遲到累積 3 次,修行路上有風有雨,,attendance,3,1,adc_004,,,,,,,,
遲到累積 5 次,我真的家裡有事遲到了,【我真的家裡有事遲到了】,attendance,5,1,adc_005,,,,,,,,
忘記帶東西後能借到,江湖人脈,【江湖人脈廣】,attendance,1,1,adc_006,,,,,,,,
一週學用品準備齊全,準備齊全,【裝備確認】,attendance,1,1,adc_007,,,,,,,,
兩週學用品準備齊全,自我提醒,【我有記得】,attendance,1,2,adc_008,,,,,,,,
三週學用品準備齊全,長期穩定,【日常修行派】,attendance,1,3,adc_009,,,,,,,,
十週學用品準備齊全,生活也是修行,【完美日常】,attendance,1,5,adc_010,,,,,,,,
三天沒有被老師點名,日常順暢,【今天很順】,attendance,1,2,adc_011,,,,,,,,
能說出自己進步之處,自知之明,,read,1,2,read_888,,,,,,,,
能說出想調整的地方,再修一次,,read,1,2,read_777,,,,,,,,
完成學期學習回顧,修行紀錄,,read,1,3,read_666,,,,,,,,
小組衝突後能完成任務,和氣生財,【和氣生財】,help,1,3,help_999,,,,,,,,
願意換位思考一次,觀心者,,help,1,2,help_888,,,,,,,,
默默完成卻沒被注意,無名高手,【無名高手】,homework,1,3,hw_999,,,,,,,,
主動整理座位 15 次,洞府整潔派,【我的座位沒有老鼠】,clean,15,4,clean_000,,,,,,,,
關鍵時刻補位,最後一塊拼圖,【凱瑞大師】,help,1,5,help_777,,,,,,,,
,,,,,,,,,,,,,,
🏆終極成就條件：,全成就搜集 - 1,【🐲 誰都比不上我】,all,1,5,all_001,,,,,,,,
🏆終極成就條件：,全成就搜集 - 2,【🌟 全修滿不是傳說】,all,1,5,all_002,,,,,,,,
